id,preview,energy,valence
3BEZCNZSmVv30vsMNSOCri,https://p.scdn.co/mp3-preview/0caedebc3408c21a1aaa59d0b9c2479d0ddb8b89?cid=7b94cea739b042da8b24219ff35b9915,0.524,0.636
7rPzEczIS574IgPaiPieS3,https://p.scdn.co/mp3-preview/92210b01fcc6efa80008663c158baf79cf0d7b5f?cid=7b94cea739b042da8b24219ff35b9915,0.394,0.719
72im7eQVEW5oy4o6DlhNbW,https://p.scdn.co/mp3-preview/0065194c59eafb3099a37e88f88c88dca12b80b5?cid=7b94cea739b042da8b24219ff35b9915,0.645,0.273
2zYzyRzz6pRmhPzyfMEC8s,https://p.scdn.co/mp3-preview/db138a9742397601a1e5fdde727967956bdad0fb?cid=7b94cea739b042da8b24219ff35b9915,0.913,0.423
0GFYwFDhvlRSvMQLEQ4rg1,https://p.scdn.co/mp3-preview/7da47a41da4eddd5a1a8a2299e7f1ce2105124b5?cid=7b94cea739b042da8b24219ff35b9915,0.939,0.47
5XcZRgJv3zMhTqCyESjQrF,https://p.scdn.co/mp3-preview/9974e5f534cce09666a7013c639edc451f1652e8?cid=7b94cea739b042da8b24219ff35b9915,0.908,0.26
79Nzu4GvmkY0y7nBkExWtj,https://p.scdn.co/mp3-preview/f1d51bb3556cc10491e8a781501b3d68f1379648?cid=7b94cea739b042da8b24219ff35b9915,0.557,0.439
2eCNjodC3PPxF5LpKjJAzO,https://p.scdn.co/mp3-preview/7833e06f3e2f1e6b5662fe2845993d25f6b3355f?cid=7b94cea739b042da8b24219ff35b9915,0.489,0.445
5qIyHlA4HJnno4aN1EpFZn,https://p.scdn.co/mp3-preview/eed5775a388bd0bed1493aaa45a0bda25a6010d2?cid=7b94cea739b042da8b24219ff35b9915,0.861,0.726
3TrdHDT8kMGshHN8gc0C7b,https://p.scdn.co/mp3-preview/20879a85687dac81c4d362d127ac3db0cef8a065?cid=7b94cea739b042da8b24219ff35b9915,0.627,0.251
0XRzoJykJvbE4qABnv58vB,https://p.scdn.co/mp3-preview/771e51e01da387aed8d0a04207f67f502feb4372?cid=7b94cea739b042da8b24219ff35b9915,0.812,0.882
6p5VpG9IQLnvfwn2WJJwHP,https://p.scdn.co/mp3-preview/fe60b8b4c6f245091e0ea994f9c47e8e00a751b1?cid=7b94cea739b042da8b24219ff35b9915,0.781,0.463
4fD838TL5ZCmp3p46ZSZE3,https://p.scdn.co/mp3-preview/058db8ad7112334b77bd7b087e0076c3819731a3?cid=7b94cea739b042da8b24219ff35b9915,0.456,0.152
57bgtoPSgt236HzfBOd8kj,https://p.scdn.co/mp3-preview/df9f0326adc85339110734ed560c5a1cb541adfc?cid=7b94cea739b042da8b24219ff35b9915,0.89,0.259
4Ma6fKktonx1Tu7Lzljcz5,https://p.scdn.co/mp3-preview/2b4bd7fd0a37599da80e697033fd67125f79f210?cid=7b94cea739b042da8b24219ff35b9915,0.981,0.242
0ljqCuou2gocaBnsAzuAqm,https://p.scdn.co/mp3-preview/a60145b8e5a032f4d8828bf6b64d269051e04c0c?cid=7b94cea739b042da8b24219ff35b9915,0.889,0.715
5FZxsHWIvUsmSK1IAvm2pp,https://p.scdn.co/mp3-preview/720ad0b60a24b6be93a8c6b42723b1e503affdb2?cid=7b94cea739b042da8b24219ff35b9915,0.94,0.369
